akademo
alingawngaw
balsa
banda
bayoneta
bulugang
daya
dominikana
gawa
gumuho
hagkis
ibalik
iniiling
kahulihulihang
kami
kanila
labas
laging
ligaya
linalik
luhay
lumaban
lumuha
mabuwal
magpatuloy
mahalata
makawala
minama
nagbawa
nagpumilit
nagsasasalita
nagsimba
nangakaligtas
naniwalang
natamo
pagamo
paggambala
pagkagalit
pagkatindig
pagkatuwa
pagsasaka
pahihinuhod
panglinis
pinaglimusan
pinasalamatan
plano
salaping
santang
suntukin
tanak
tigmak
tikas
tiyakin
tumawa
tunog
umasang
